wires 0
00-98 01-3b 02-c7 03-bd 04-16 05-f2 06-4a 07-5d 
c8-2a c9-41 ca-4d cb-45 cc-33 cd-df ce-55 cf-a2 
d0-50 d1-ba d2-1f d3-e8 d4-77 d5-eb d6-b3 d7-7c 
d8-0f d9-7a da-5d db-01 dc-70 dd-3b de-1b df-cd 
e0-ab e1-18 e2-81 e3-23 e4-6e e5-fc e6-b0 e7-bd 
e8-d3 e9-4f ea-67 eb-d5 ec-80 ed-fd ee-0e ef-5b 
f0-6b f1-44 f2-5f f3-14 f4-27 f5-69 f6-c2 f7-4b 
f8-a6 f9-0c fa-fe fb-94 fc-e5 fd-ed fe-fa ff-09 
end wires

wires 42
00-4b 01-64 02-ab 03-11 04-9a 05-52 06-b8 07-b1 
08-7d 09-7e 0a-9d 0b-aa 0c-88 0d-8b 0e-97 0f-a7 
10-32 11-03 12-bd 13-27 14-20 15-77 16-d4 17-2f 
18-49 19-7c 1a-4f 1b-74 1c-c7 1d-cb 1e-be 1f-d8 
20-14 21-f8 22-fa 23-90 24-99 25-45 26-df 27-13 
28-8c 29-73 2a-43 2b-37 2c-fc 2d-39 2e-3f 2f-17 
30-d7 31-e5 32-10 33-36 34-7b 35-b9 36-33 37-2b 
38-e4 39-2d 3a-fb 3b-f9 3c-79 3d-91 3e-53 3f-2e 
40-ca 41-9f 42-62 43-2a 44-50 45-25 46-c9 47-8e 
48-e3 49-18 4a-ed 4b-00 4c-ae 4d-ee 4e-ff 4f-1a 
50-44 51-5b 52-05 53-3e 54-a2 55-f2 56-83 57-a1 
58-af 59-78 5a-c2 5b-51 5c-c6 5d-87 5e-c4 5f-db 
60-92 61-72 62-42 63-6d 64-01 65-da 66-6f 67-6a 
68-71 69-e7 6a-67 6b-b6 6c-76 6d-63 6e-cd 6f-66 
70-8a 71-68 72-61 73-29 74-1b 75-98 76-6c 77-15 
78-59 79-3c 7a-8f 7b-34 7c-19 7d-08 7e-09 7f-d3 
80-9c 81-b0 82-f0 83-56 84-f3 85-e2 86-9b 87-5d 
88-0c 89-fd 8a-70 8b-0d 8c-28 8d-c5 8e-47 8f-7a 
90-23 91-3d 92-60 93-f1 94-bb 95-a5 96-f7 97-0e 
98-75 99-24 9a-04 9b-86 9c-80 9d-0a 9e-e9 9f-41 
a0-ea a1-57 a2-54 a3-a9 a4-b5 a5-95 a6-c3 a7-0f 
a8-ce a9-a3 aa-0b ab-02 ac-cf ad-d2 ae-4c af-58 
b0-81 b1-07 b2-e6 b3-c1 b4-f6 b5-a4 b6-6b b7-e1 
b8-06 b9-35 ba-d5 bb-94 bc-f5 bd-12 be-1e bf-fe 
c0-dd c1-b3 c2-5a c3-a6 c4-5e c5-8d c6-5c c7-1c 
c8-d9 c9-46 ca-40 cb-1d cc-d1 cd-6e ce-a8 cf-ac 
d0-dc d1-cc d2-ad d3-7f d4-16 d5-ba d6-e0 d7-30 
d8-1f d9-c8 da-65 db-5f dc-d0 dd-c0 de-f4 df-26 
e0-d6 e1-b7 e2-85 e3-48 e4-38 e5-31 e6-b2 e7-69 
e8-ec e9-9e ea-a0 eb-ef ec-e8 ed-4a ee-4d ef-eb 
f0-82 f1-93 f2-55 f3-84 f4-de f5-bc f6-b4 f7-96 
f8-21 f9-3b fa-22 fb-3a fc-2c fd-89 fe-bf ff-4e 
end wires

wires 43
00-3f 01-ab 02-96 03-c1 04-82 05-4c 06-f8 07-5d 
08-c0 09-1d 0a-46 0b-af 0c-24 0d-50 0e-a6 0f-b8 
10-7d 11-93 12-cb 13-ec 14-15 15-14 16-2e 17-5a 
18-dd 19-3d 1a-e3 1b-65 1c-e5 1d-09 1e-cf 1f-ce 
20-44 21-83 22-3c 23-d1 24-0c 25-35 26-28 27-c5 
28-26 29-bd 2a-d5 2b-39 2c-59 2d-98 2e-16 2f-d4 
30-ac 31-fb 32-79 33-a7 34-7a 35-25 36-d6 37-e2 
38-b0 39-2b 3a-c9 3b-ca 3c-22 3d-19 3e-7e 3f-00 
40-77 41-4f 42-db 43-8f 44-20 45-6d 46-0a 47-8c 
48-7f 49-b4 4a-f5 4b-e8 4c-05 4d-cc 4e-a3 4f-41 
50-0d 51-f3 52-57 53-d3 54-b9 55-5b 56-da 57-52 
58-63 59-2c 5a-17 5b-55 5c-bc 5d-07 5e-a8 5f-8a 
60-9d 61-f7 62-73 63-58 64-fc 65-1b 66-9f 67-8b 
68-90 69-a9 6a-78 6b-d0 6c-b6 6d-45 6e-dc 6f-cd 
70-be 71-ad 72-e6 73-62 74-f4 75-9a 76-fa 77-40 
78-6a 79-32 7a-34 7b-c8 7c-8e 7d-10 7e-3e 7f-48 
80-b7 81-99 82-04 83-21 84-aa 85-e1 86-c3 87-94 
88-ef 89-a5 8a-5f 8b-67 8c-47 8d-a2 8e-7c 8f-43 
90-68 91-e9 92-f2 93-11 94-87 95-b1 96-02 97-c4 
98-2d 99-81 9a-75 9b-bf 9c-a0 9d-60 9e-ba 9f-66 
a0-9c a1-f9 a2-8d a3-4e a4-b5 a5-89 a6-0e a7-33 
a8-5e a9-69 aa-84 ab-01 ac-30 ad-71 ae-b2 af-0b 
b0-38 b1-95 b2-ae b3-d9 b4-49 b5-a4 b6-6c b7-80 
b8-0f b9-54 ba-9e bb-e0 bc-5c bd-29 be-70 bf-9b 
c0-08 c1-03 c2-e7 c3-86 c4-97 c5-27 c6-de c7-ee 
c8-7b c9-3a ca-3b cb-12 cc-4d cd-6f ce-1f cf-1e 
d0-6b d1-23 d2-eb d3-53 d4-2f d5-2a d6-36 d7-ff 
d8-f1 d9-b3 da-56 db-42 dc-6e dd-18 de-c6 df-e4 
e0-bb e1-85 e2-37 e3-1a e4-df e5-1c e6-72 e7-c2 
e8-4b e9-91 ea-f6 eb-d2 ec-13 ed-fe ee-c7 ef-88 
f0-fd f1-d8 f2-92 f3-51 f4-74 f5-4a f6-ea f7-61 
f8-06 f9-a1 fa-76 fb-31 fc-64 fd-f0 fe-ed ff-d7 
end wires

wires 44
00-15 01-83 02-57 03-6c 04-70 05-5e 06-ad 07-16 
08-12 09-b0 0a-77 0b-9a 0c-4a 0d-e6 0e-81 0f-88 
10-a0 11-1f 12-08 13-80 14-7d 15-00 16-07 17-21 
18-c7 19-f7 1a-e8 1b-40 1c-5a 1d-f4 1e-98 1f-11 
20-ff 21-17 22-de 23-ea 24-45 25-74 26-c9 27-54 
28-e5 29-e4 2a-f1 2b-52 2c-9f 2d-fa 2e-5f 2f-5c 
30-a4 31-71 32-56 33-cc 34-cb 35-ce 36-a7 37-67 
38-46 39-e0 3a-8f 3b-b2 3c-ec 3d-6f 3e-4d 3f-9e 
40-1b 41-49 42-99 43-b4 44-5d 45-24 46-38 47-7e 
48-cf 49-41 4a-0c 4b-f9 4c-7c 4d-3e 4e-ac 4f-b8 
50-bc 51-8e 52-2b 53-66 54-27 55-63 56-32 57-02 
58-f2 59-94 5a-1c 5b-d7 5c-2f 5d-44 5e-05 5f-2e 
60-b9 61-73 62-69 63-55 64-89 65-6b 66-53 67-37 
68-7a 69-62 6a-ba 6b-65 6c-03 6d-fc 6e-d6 6f-3d 
70-04 71-31 72-e2 73-61 74-25 75-aa 76-d8 77-0a 
78-8b 79-df 7a-68 7b-d2 7c-4c 7d-14 7e-47 7f-f3 
80-13 81-0e 82-ed 83-01 84-c5 85-8c 86-ae 87-9b 
88-0f 89-64 8a-f0 8b-78 8c-85 8d-ee 8e-51 8f-3a 
90-f6 91-95 92-ef 93-fd 94-59 95-91 96-a1 97-b1 
98-1e 99-42 9a-0b 9b-87 9c-b6 9d-a6 9e-3f 9f-2c 
a0-10 a1-96 a2-bf a3-c6 a4-30 a5-da a6-9d a7-36 
a8-af a9-d0 aa-75 ab-be ac-4e ad-06 ae-86 af-a8 
b0-09 b1-97 b2-3b b3-c0 b4-43 b5-e7 b6-9c b7-dd 
b8-4f b9-60 ba-6a bb-c8 bc-50 bd-d4 be-ab bf-a2 
c0-b3 c1-d5 c2-eb c3-e1 c4-dc c5-84 c6-a3 c7-18 
c8-bb c9-26 ca-db cb-34 cc-33 cd-fe ce-35 cf-48 
d0-a9 d1-e3 d2-7b d3-f5 d4-bd d5-c1 d6-6e d7-5b 
d8-76 d9-fb da-a5 db-ca dc-c4 dd-b7 de-22 df-79 
e0-39 e1-c3 e2-72 e3-d1 e4-29 e5-28 e6-0d e7-b5 
e8-1a e9-f8 ea-23 eb-c2 ec-3c ed-82 ee-8d ef-92 
f0-8a f1-2a f2-58 f3-7f f4-1d f5-d3 f6-90 f7-19 
f8-e9 f9-4b fa-2d fb-d9 fc-6d fd-93 fe-cd ff-20 
end wires

wires 45
00-62 01-dc 02-fc 03-48 04-37 05-95 06-fe 07-f0 
08-ca 09-57 0a-8c 0b-88 0c-c3 0d-26 0e-b5 0f-5e 
10-83 11-68 12-2e 13-bb 14-99 15-64 16-36 17-e6 
18-8b 19-f8 1a-5d 1b-51 1c-b4 1d-ab 1e-58 1f-6b 
20-65 21-a6 22-d8 23-ef 24-a3 25-d3 26-0d 27-d5 
28-da 29-3f 2a-70 2b-85 2c-d4 2d-81 2e-12 2f-7d 
30-e2 31-e1 32-84 33-b6 34-cd 35-b7 36-16 37-04 
38-78 39-72 3a-61 3b-44 3c-af 3d-8d 3e-92 3f-29 
40-d1 41-f1 42-c1 43-e8 44-3b 45-e4 46-74 47-9f 
48-03 49-6f 4a-79 4b-53 4c-67 4d-c5 4e-c7 4f-66 
50-aa 51-1b 52-5b 53-4b 54-f9 55-73 56-93 57-09 
58-1e 59-b9 5a-a0 5b-52 5c-94 5d-1a 5e-0f 5f-7f 
60-ed 61-3a 62-00 63-77 64-15 65-20 66-4f 67-4c 
68-11 69-a2 6a-9c 6b-1f 6c-e5 6d-76 6e-d2 6f-49 
70-2a 71-be 72-39 73-55 74-46 75-a8 76-6d 77-63 
78-38 79-4a 7a-86 7b-e0 7c-8f 7d-2f 7e-b2 7f-5f 
80-a7 81-2d 82-cb 83-10 84-32 85-2b 86-7a 87-de 
88-0b 89-b3 8a-97 8b-18 8c-0a 8d-3d 8e-b1 8f-7c 
90-98 91-d0 92-3e 93-56 94-5c 95-05 96-9b 97-8a 
98-90 99-14 9a-fb 9b-96 9c-6a 9d-ad 9e-ae 9f-47 
a0-5a a1-eb a2-69 a3-24 a4-e3 a5-f4 a6-21 a7-80 
a8-75 a9-c2 aa-50 ab-1d ac-f3 ad-9d ae-9e af-3c 
b0-b8 b1-8e b2-7e b3-89 b4-1c b5-0e b6-33 b7-35 
b8-b0 b9-59 ba-d6 bb-13 bc-f2 bd-fd be-71 bf-e7 
c0-c6 c1-42 c2-a9 c3-0c c4-db c5-4d c6-c0 c7-4e 
c8-ee c9-ff ca-08 cb-82 cc-ea cd-34 ce-f6 cf-f7 
d0-91 d1-40 d2-6e d3-25 d4-2c d5-27 d6-ba d7-f5 
d8-22 d9-dd da-28 db-c4 dc-01 dd-d9 de-87 df-fa 
e0-7b e1-31 e2-30 e3-a4 e4-45 e5-6c e6-17 e7-bf 
e8-43 e9-ec ea-cc eb-a1 ec-e9 ed-60 ee-c8 ef-23 
f0-07 f1-41 f2-bc f3-ac f4-a5 f5-d7 f6-ce f7-cf 
f8-19 f9-54 fa-df fb-9a fc-02 fd-bd fe-06 ff-c9 
end wires

wires 46
00-43 01-2c 02-a3 03-7e 04-19 05-31 06-c3 07-0e 
08-e6 09-67 0a-6f 0b-47 0c-d5 0d-b5 0e-07 0f-49 
10-36 11-c6 12-d4 13-cb 14-29 15-7a 16-9a 17-62 
18-ae 19-04 1a-e1 1b-d2 1c-ad 1d-d9 1e-32 1f-63 
20-5e 21-46 22-6b 23-b3 24-54 25-5a 26-6a 27-96 
28-35 29-14 2a-92 2b-cf 2c-01 2d-8f 2e-ea 2f-c4 
30-3d 31-05 32-1e 33-8d 34-80 35-28 36-10 37-ef 
38-e3 39-be 3a-78 3b-8b 3c-af 3d-30 3e-94 3f-ee 
40-b4 41-ac 42-69 43-00 44-97 45-4e 46-21 47-0b 
48-f3 49-0f 4a-95 4b-b1 4c-ba 4d-fb 4e-45 4f-59 
50-dc 51-73 52-cd 53-79 54-24 55-91 56-f7 57-a6 
58-87 59-4f 5a-25 5b-bf 5c-93 5d-b6 5e-20 5f-89 
60-ca 61-75 62-17 63-1f 64-c8 65-9b 66-d3 67-09 
68-d1 69-42 6a-26 6b-22 6c-7d 6d-ce 6e-b2 6f-0a 
70-e2 71-e7 72-dd 73-51 74-fd 75-61 76-c7 77-a7 
78-3a 79-53 7a-15 7b-9c 7c-b0 7d-6c 7e-03 7f-d0 
80-34 81-a5 82-f6 83-f8 84-ff 85-fa 86-88 87-58 
88-86 89-5f 8a-ec 8b-3b 8c-c5 8d-33 8e-bd 8f-2d 
90-a2 91-55 92-2a 93-5c 94-3e 95-4a 96-27 97-44 
98-9e 99-f1 9a-16 9b-65 9c-7b 9d-c2 9e-98 9f-de 
a0-e0 a1-d8 a2-90 a3-02 a4-bc a5-81 a6-57 a7-77 
a8-f9 a9-ed aa-eb ab-b7 ac-41 ad-1c ae-18 af-3c 
b0-7c b1-4b b2-6e b3-23 b4-40 b5-0d b6-5d b7-ab 
b8-fc b9-db ba-4c bb-f4 bc-a4 bd-8e be-39 bf-5b 
c0-d6 c1-e8 c2-9d c3-06 c4-2f c5-8c c6-11 c7-76 
c8-64 c9-fe ca-60 cb-13 cc-e4 cd-52 ce-6d cf-2b 
d0-7f d1-68 d2-1b d3-66 d4-12 d5-0c d6-c0 d7-e5 
d8-a1 d9-1d da-f5 db-b9 dc-50 dd-72 de-9f df-e9 
e0-a0 e1-1a e2-70 e3-38 e4-cc e5-d7 e6-08 e7-71 
e8-c1 e9-df ea-2e eb-aa ec-8a ed-a9 ee-3f ef-37 
f0-f2 f1-99 f2-f0 f3-48 f4-bb f5-da f6-82 f7-56 
f8-83 f9-a8 fa-85 fb-4d fc-b8 fd-74 fe-c9 ff-84 
end wires

wires 47
00-fb 01-be 02-db 03-8d 04-d7 05-8e 06-62 07-df 
08-84 09-6d 0a-0c 0b-93 0c-0a 0d-94 0e-26 0f-7b 
10-69 11-3d 12-74 13-6b 14-31 15-fa 16-22 17-88 
18-9b 19-cb 1a-92 1b-e7 1c-79 1d-4e 1e-6c 1f-23 
20-a8 21-d6 22-16 23-1f 24-70 25-63 26-0e 27-5a 
28-a4 29-fe 2a-f5 2b-dc 2c-5c 2d-e9 2e-40 2f-7a 
30-cc 31-14 32-b7 33-fc 34-f2 35-41 36-ba 37-ff 
38-86 39-61 3a-ac 3b-57 3c-ca 3d-11 3e-af 3f-59 
40-2e 41-35 42-73 43-e4 44-c2 45-b9 46-6a 47-b3 
48-85 49-4a 4a-49 4b-ee 4c-9f 4d-b2 4e-1d 4f-e8 
50-54 51-d4 52-e5 53-8a 54-50 55-58 56-e3 57-3b 
58-55 59-3f 5a-27 5b-a6 5c-2c 5d-d8 5e-d9 5f-bb 
60-f1 61-39 62-06 63-25 64-ea 65-89 66-d3 67-c7 
68-f8 69-10 6a-46 6b-13 6c-1e 6d-09 6e-99 6f-b5 
70-24 71-ab 72-9d 73-42 74-12 75-f0 76-ed 77-e2 
78-8b 79-1c 7a-2f 7b-0f 7c-ad 7d-a7 7e-ce 7f-b1 
80-c1 81-da 82-97 83-e6 84-08 85-48 86-38 87-bc 
88-17 89-65 8a-53 8b-78 8c-bf 8d-03 8e-05 8f-e0 
90-c9 91-a9 92-1a 93-0b 94-0d 95-f4 96-98 97-82 
98-96 99-6e 9a-aa 9b-18 9c-b8 9d-72 9e-b4 9f-4c 
a0-e1 a1-c3 a2-eb a3-b0 a4-28 a5-c5 a6-5b a7-7d 
a8-20 a9-91 aa-9a ab-71 ac-3a ad-7c ae-f6 af-3e 
b0-a3 b1-7f b2-4d b3-47 b4-9e b5-6f b6-bd b7-32 
b8-9c b9-45 ba-36 bb-5f bc-87 bd-b6 be-01 bf-8c 
c0-d5 c1-80 c2-44 c3-a1 c4-fd c5-a5 c6-d1 c7-67 
c8-d2 c9-90 ca-3c cb-19 cc-30 cd-cf ce-7e cf-cd 
d0-de d1-c6 d2-c8 d3-66 d4-51 d5-c0 d6-21 d7-04 
d8-5d d9-5e da-81 db-02 dc-2b dd-ef de-d0 df-07 
e0-8f e1-a0 e2-77 e3-56 e4-43 e5-52 e6-83 e7-1b 
e8-4f e9-2d ea-64 eb-a2 ec-f7 ed-76 ee-4b ef-dd 
f0-75 f1-60 f2-34 f3-f9 f4-95 f5-2a f6-ae f7-ec 
f8-68 f9-f3 fa-15 fb-00 fc-33 fd-c4 fe-29 ff-37 
end wires

wires 48
00-d1 01-64 02-14 03-98 04-b0 05-55 06-18 07-81 
08-44 09-f9 0a-f8 0b-da 0c-aa 0d-9e 0e-ba 0f-1a 
10-9c 11-a0 12-6e 13-46 14-02 15-d2 16-6b 17-56 
18-06 19-f7 1a-0f 1b-90 1c-42 1d-4f 1e-d0 1f-80 
20-cb 21-cf 22-87 23-ee 24-c3 25-b4 26-58 27-6f 
28-f2 29-7c 2a-bf 2b-88 2c-ea 2d-dc 2e-d3 2f-be 
30-6d 31-ef 32-a9 33-83 34-a8 35-f6 36-54 37-c4 
38-82 39-8d 3a-50 3b-5a 3c-97 3d-c7 3e-a2 3f-85 
40-d8 41-94 42-1c 43-a7 44-08 45-c9 46-13 47-7e 
48-f1 49-66 4a-7d 4b-f3 4c-5f 4d-c8 4e-e8 4f-1d 
50-3a 51-69 52-9a 53-c0 54-36 55-05 56-17 57-b6 
58-26 59-fe 5a-3b 5b-ff 5c-b5 5d-7f 5e-cc 5f-4c 
60-9f 61-e2 62-b1 63-fd 64-01 65-84 66-49 67-e3 
68-eb 69-51 6a-79 6b-16 6c-ac 6d-30 6e-12 6f-27 
70-8f 71-f0 72-dd 73-99 74-de 75-92 76-fb 77-fa 
78-7b 79-6a 7a-d5 7b-78 7c-29 7d-4a 7e-47 7f-5d 
80-1f 81-07 82-38 83-33 84-65 85-3f 86-ab 87-22 
88-2b 89-e9 8a-e5 8b-bd 8c-a5 8d-39 8e-e4 8f-70 
90-1b 91-d4 92-75 93-bb 94-41 95-c2 96-b9 97-3c 
98-03 99-73 9a-52 9b-e6 9c-10 9d-cd 9e-0d 9f-60 
a0-11 a1-d7 a2-3e a3-bc a4-b7 a5-8c a6-c1 a7-43 
a8-34 a9-32 aa-0c ab-86 ac-6c ad-b2 ae-d6 af-ca 
b0-04 b1-62 b2-ad b3-ce b4-25 b5-5c b6-57 b7-a4 
b8-f5 b9-96 ba-0e bb-93 bc-a3 bd-8b be-2f bf-2a 
c0-53 c1-a6 c2-95 c3-24 c4-37 c5-ed c6-ec c7-3d 
c8-4d c9-45 ca-af cb-20 cc-5e cd-9d ce-b3 cf-21 
d0-1e d1-00 d2-15 d3-2e d4-91 d5-7a d6-ae d7-a1 
d8-40 d9-f4 da-0b db-e7 dc-2d dd-72 de-74 df-e1 
e0-fc e1-df e2-61 e3-67 e4-8e e5-8a e6-9b e7-db 
e8-4e e9-89 ea-2c eb-68 ec-c6 ed-c5 ee-23 ef-31 
f0-71 f1-48 f2-28 f3-4b f4-d9 f5-b8 f6-35 f7-19 
f8-0a f9-09 fa-77 fb-76 fc-e0 fd-63 fe-59 ff-5b 
end wires

wires 49
00-57 01-a9 02-51 03-fd 04-e1 05-d2 06-90 07-ee 
08-ec 09-24 0a-e5 0b-a5 0c-40 0d-e6 0e-43 0f-2a 
10-88 11-bb 12-2e 13-60 14-e2 15-70 16-72 17-28 
18-b8 19-84 1a-c6 1b-32 1c-e8 1d-33 1e-6f 1f-98 
20-8b 21-89 22-80 23-68 24-09 25-7c 26-c9 27-85 
28-17 29-46 2a-0f 2b-3f 2c-fb 2d-75 2e-12 2f-36 
30-f8 31-9d 32-1b 33-1d 34-bc 35-9b 36-2f 37-55 
38-83 39-b6 3a-b5 3b-f4 3c-69 3d-56 3e-c1 3f-2b 
40-0c 41-7d 42-b0 43-0e 44-d1 45-6c 46-29 47-6d 
48-8d 49-e0 4a-c5 4b-d0 4c-f5 4d-e4 4e-78 4f-74 
50-ae 51-02 52-fc 53-d6 54-c8 55-37 56-3d 57-00 
58-8c 59-62 5a-a6 5b-cb 5c-de 5d-cd 5e-6a 5f-91 
60-13 61-65 62-59 63-f2 64-7e 65-61 66-b7 67-79 
68-23 69-3c 6a-5e 6b-ab 6c-45 6d-47 6e-a8 6f-1e 
70-15 71-c0 72-16 73-cf 74-4f 75-2d 76-eb 77-f9 
78-4e 79-67 7a-7b 7b-7a 7c-25 7d-41 7e-64 7f-d8 
80-22 81-bf 82-ad 83-38 84-19 85-27 86-b1 87-9a 
88-10 89-21 8a-9e 8b-20 8c-58 8d-48 8e-fa 8f-d5 
90-06 91-5f 92-d4 93-dd 94-d3 95-a3 96-af 97-a0 
98-1f 99-c3 9a-87 9b-35 9c-ef 9d-31 9e-8a 9f-b2 
a0-97 a1-c7 a2-b3 a3-95 a4-f1 a5-0b a6-5a a7-b4 
a8-6e a9-01 aa-e9 ab-6b ac-f7 ad-82 ae-50 af-96 
b0-42 b1-86 b2-9f b3-a2 b4-a7 b5-3a b6-39 b7-66 
b8-18 b9-ed ba-f6 bb-11 bc-34 bd-df be-e7 bf-81 
c0-71 c1-3e c2-ff c3-99 c4-ce c5-4a c6-1a c7-a1 
c8-54 c9-26 ca-e3 cb-5b cc-ea cd-5d ce-c4 cf-73 
d0-4b d1-44 d2-05 d3-94 d4-92 d5-8f d6-53 d7-d9 
d8-7f d9-d7 da-fe db-f3 dc-f0 dd-93 de-5c df-bd 
e0-49 e1-04 e2-14 e3-ca e4-4d e5-0a e6-0d e7-be 
e8-1c e9-aa ea-cc eb-76 ec-08 ed-b9 ee-07 ef-9c 
f0-dc f1-a4 f2-63 f3-db f4-3b f5-4c f6-ba f7-ac 
f8-30 f9-77 fa-8e fb-2c fc-52 fd-03 fe-da ff-c2 
end wires

wires 50
00-c4 01-31 02-8e 03-49 04-82 05-41 06-d9 07-3b 
08-fd 09-a1 0a-a4 0b-65 0c-f4 0d-2a 0e-5e 0f-a5 
10-b3 11-ee 12-27 13-98 14-52 15-e2 16-32 17-bb 
18-58 19-e7 1a-28 1b-5f 1c-ab 1d-3c 1e-67 1f-bc 
20-7c 21-5b 22-c6 23-a9 24-da 25-8d 26-f0 27-12 
28-1a 29-5d 2a-0d 2b-66 2c-aa 2d-80 2e-54 2f-ad 
30-4e 31-01 32-16 33-ae 34-9b 35-75 36-cc 37-c2 
38-ed 39-93 3a-b9 3b-07 3c-1d 3d-b5 3e-7e 3f-b6 
40-9d 41-05 42-9f 43-78 44-d3 45-e5 46-c0 47-4f 
48-7a 49-03 4a-91 4b-f3 4c-6a 4d-56 4e-30 4f-47 
50-b2 51-6c 52-14 53-9c 54-2e 55-88 56-4d 57-a7 
58-18 59-b0 5a-d2 5b-21 5c-e9 5d-29 5e-0e 5f-1b 
60-d6 61-62 62-61 63-b7 64-7d 65-0b 66-2b 67-1e 
68-ce 69-fc 6a-4c 6b-f6 6c-51 6d-cd 6e-ef 6f-83 
70-c1 71-e0 72-92 73-ac 74-af 75-35 76-f9 77-f1 
78-43 79-e4 7a-48 7b-e8 7c-20 7d-64 7e-3e 7f-e1 
80-2d 81-f7 82-04 83-6f 84-d4 85-97 86-a0 87-b4 
88-55 89-a2 8a-e3 8b-d5 8c-ba 8d-25 8e-02 8f-9e 
90-a6 91-4a 92-72 93-39 94-95 95-94 96-c7 97-85 
98-13 99-fb 9a-fe 9b-34 9c-53 9d-40 9e-8f 9f-42 
a0-86 a1-09 a2-89 a3-df a4-0a a5-0f a6-90 a7-57 
a8-dc a9-23 aa-2c ab-1c ac-73 ad-2f ae-33 af-74 
b0-59 b1-d7 b2-50 b3-10 b4-87 b5-3d b6-3f b7-63 
b8-dd b9-3a ba-8c bb-17 bc-1f bd-db be-cb bf-f5 
c0-46 c1-70 c2-37 c3-ea c4-00 c5-c8 c6-22 c7-96 
c8-c5 c9-d0 ca-f2 cb-be cc-36 cd-6d ce-68 cf-eb 
d0-c9 d1-e6 d2-5a d3-44 d4-84 d5-8b d6-60 d7-b1 
d8-ff d9-06 da-24 db-bd dc-a8 dd-b8 de-f8 df-a3 
e0-71 e1-7f e2-15 e3-8a e4-79 e5-45 e6-d1 e7-19 
e8-7b e9-5c ea-c3 eb-cf ec-fa ed-38 ee-11 ef-6e 
f0-26 f1-77 f2-ca f3-4b f4-0c f5-bf f6-6b f7-81 
f8-de f9-76 fa-ec fb-99 fc-69 fd-08 fe-9a ff-d8 
end wires

wires 51
00-55 01-cc 02-36 03-ad 04-16 05-bd 06-a9 07-43 
08-e3 09-63 0a-81 0b-2b 0c-f3 0d-d4 0e-c4 0f-13 
10-f4 11-99 12-b4 13-0f 14-d6 15-85 16-04 17-22 
18-c6 19-c0 1a-da 1b-f0 1c-51 1d-7a 1e-f6 1f-48 
20-69 21-30 22-17 23-a1 24-9e 25-46 26-79 27-5a 
28-d1 29-77 2a-ce 2b-0b 2c-d7 2d-9b 2e-3d 2f-e1 
30-21 31-c1 32-fb 33-b1 34-dc 35-4f 36-02 37-a0 
38-8d 39-fe 3a-76 3b-b7 3c-af 3d-2e 3e-4e 3f-e8 
40-8f 41-5c 42-f9 43-07 44-d9 45-b2 46-25 47-fd 
48-1f 49-5d 4a-70 4b-7d 4c-cb 4d-e6 4e-3e 4f-35 
50-c3 51-1c 52-80 53-df 54-6f 55-00 56-68 57-dd 
58-e0 59-86 5a-27 5b-e4 5c-41 5d-49 5e-6e 5f-92 
60-c9 61-96 62-b0 63-09 64-f5 65-7e 66-ff 67-d0 
68-56 69-20 6a-de 6b-d8 6c-d3 6d-a4 6e-5e 6f-54 
70-4a 71-e5 72-89 73-9d 74-8a 75-fc 76-3a 77-29 
78-be 79-26 7a-1d 7b-f8 7c-c8 7d-4b 7e-65 7f-98 
80-52 81-0a 82-ca 83-c7 84-c2 85-15 86-59 87-f7 
88-a6 89-72 8a-74 8b-cf 8c-ab 8d-38 8e-eb 8f-40 
90-9a 91-b9 92-5f 93-ba 94-b3 95-cd 96-61 97-d2 
98-7f 99-11 9a-90 9b-2d 9c-fa 9d-73 9e-24 9f-a5 
a0-37 a1-23 a2-ea a3-e7 a4-6d a5-9f a6-88 a7-ed 
a8-f1 a9-06 aa-f2 ab-8c ac-b5 ad-03 ae-ee af-3c 
b0-62 b1-33 b2-45 b3-94 b4-12 b5-ac b6-b8 b7-3b 
b8-b6 b9-91 ba-93 bb-db bc-d5 bd-05 be-78 bf-e9 
c0-19 c1-31 c2-84 c3-50 c4-0e c5-ef c6-18 c7-83 
c8-7c c9-60 ca-82 cb-4c cc-01 cd-95 ce-2a cf-8b 
d0-67 d1-28 d2-97 d3-6c d4-0d d5-bc d6-14 d7-2c 
d8-6b d9-44 da-1a db-bb dc-34 dd-57 de-6a df-53 
e0-58 e1-2f e2-ec e3-08 e4-5b e5-71 e6-4d e7-a3 
e8-3f e9-bf ea-a2 eb-8e ec-e2 ed-a7 ee-ae ef-c5 
f0-1b f1-a8 f2-aa f3-0c f4-10 f5-64 f6-1e f7-87 
f8-7b f9-42 fa-9c fb-32 fc-75 fd-47 fe-39 ff-66 
end wires

wires 52
00-68 01-bb 02-bf 03-da 04-bc 05-48 06-30 07-90 
08-7d 09-11 0a-ee 0b-29 0c-23 0d-34 0e-14 0f-cd 
10-2a 11-09 12-36 13-24 14-0e 15-97 16-2e 17-38 
18-ad 19-57 1a-e6 1b-42 1c-c9 1d-b5 1e-d1 1f-5f 
20-c2 21-9e 22-83 23-0c 24-13 25-86 26-4d 27-e8 
28-98 29-0b 2a-10 2b-db 2c-72 2d-9d 2e-16 2f-ec 
30-06 31-66 32-cc 33-cf 34-0d 35-b0 36-12 37-8d 
